"FECHA_OPRCN","COD_CURVA","IG_PERIODO","IG_FRECUENCIA","IG_TIPO_INT","FECHA_ALTA","IG_TIPO_CURVA"
2023-11-30 00:00:00.000,121,1,M,4.1579,2023-10-31 00:00:00.000,A
2023-12-31 00:00:00.000,121,2,M,4.236,2023-10-31 00:00:00.000,A
2024-01-31 00:00:00.000,121,3,M,4.2982,2023-10-31 00:00:00.000,A
2024-02-28 00:00:00.000,121,4,M,4.258,2023-10-31 00:00:00.000,A
2024-03-31 00:00:00.000,121,5,M,4.1749,2023-10-31 00:00:00.000,A
2024-04-30 00:00:00.000,121,6,M,4.0665,2023-10-31 00:00:00.000,A
2024-05-31 00:00:00.000,121,7,M,4.0379,2023-10-31 00:00:00.000,A
2024-06-30 00:00:00.000,121,8,M,4.0118,2023-10-31 00:00:00.000,A
2024-07-31 00:00:00.000,121,9,M,3.9842,2023-10-31 00:00:00.000,A
2024-08-31 00:00:00.000,121,10,M,3.8275,2023-10-31 00:00:00.000,A
2024-09-30 00:00:00.000,121,11,M,3.6487,2023-10-31 00:00:00.000,A
2024-10-31 00:00:00.000,121,12,M,3.4446,2023-10-31 00:00:00.000,A
2024-11-30 00:00:00.000,121,13,M,3.3607,2023-10-31 00:00:00.000,A
2024-12-31 00:00:00.000,121,14,M,3.2709,2023-10-31 00:00:00.000,A
2025-01-31 00:00:00.000,121,15,M,3.1826,2023-10-31 00:00:00.000,A
2025-02-28 00:00:00.000,121,16,M,3.1016,2023-10-31 00:00:00.000,A
2025-03-31 00:00:00.000,121,17,M,3.009,2023-10-31 00:00:00.000,A
2025-04-30 00:00:00.000,121,18,M,2.9222,2023-10-31 00:00:00.000,A
2025-05-31 00:00:00.000,121,19,M,2.8311,2023-10-31 00:00:00.000,A
2025-06-30 00:00:00.000,121,20,M,2.7444,2023-10-31 00:00:00.000,A
2025-07-31 00:00:00.000,121,21,M,2.6548,2023-10-31 00:00:00.000,A
2025-08-31 00:00:00.000,121,22,M,2.7814,2023-10-31 00:00:00.000,A
2025-09-30 00:00:00.000,121,23,M,2.9266,2023-10-31 00:00:00.000,A
2025-10-31 00:00:00.000,121,24,M,3.0943,2023-10-31 00:00:00.000,A
2025-11-30 00:00:00.000,121,25,M,3.0603,2023-10-31 00:00:00.000,A
2025-12-31 00:00:00.000,121,26,M,3.0238,2023-10-31 00:00:00.000,A
2023-11-30 00:00:00.000,122,1,M,4.2069,2023-10-31 00:00:00.000,A
2023-12-31 00:00:00.000,122,2,M,4.2055,2023-10-31 00:00:00.000,A
2024-01-31 00:00:00.000,122,3,M,4.1807,2023-10-31 00:00:00.000,A
2024-02-28 00:00:00.000,122,4,M,4.1476,2023-10-31 00:00:00.000,A
2024-03-31 00:00:00.000,122,5,M,4.0929,2023-10-31 00:00:00.000,A
2024-04-30 00:00:00.000,122,6,M,4.0256,2023-10-31 00:00:00.000,A
2024-05-31 00:00:00.000,122,7,M,3.9332,2023-10-31 00:00:00.000,A
2024-06-30 00:00:00.000,122,8,M,3.8311,2023-10-31 00:00:00.000,A
2024-07-31 00:00:00.000,122,9,M,3.7141,2023-10-31 00:00:00.000,A
2024-08-31 00:00:00.000,122,10,M,3.5951,2023-10-31 00:00:00.000,A
2024-09-30 00:00:00.000,122,11,M,3.4621,2023-10-31 00:00:00.000,A
2024-10-31 00:00:00.000,122,12,M,3.3157,2023-10-31 00:00:00.000,A
2024-11-30 00:00:00.000,122,13,M,3.2289,2023-10-31 00:00:00.000,A
2024-12-31 00:00:00.000,122,14,M,3.1391,2023-10-31 00:00:00.000,A
2025-01-31 00:00:00.000,122,15,M,3.0494,2023-10-31 00:00:00.000,A
2025-02-28 00:00:00.000,122,16,M,2.9684,2023-10-31 00:00:00.000,A
2025-03-31 00:00:00.000,122,17,M,2.8759,2023-10-31 00:00:00.000,A
2025-04-30 00:00:00.000,122,18,M,2.7891,2023-10-31 00:00:00.000,A
2025-05-31 00:00:00.000,122,19,M,2.8064,2023-10-31 00:00:00.000,A
2025-06-30 00:00:00.000,122,20,M,2.835,2023-10-31 00:00:00.000,A
2025-07-31 00:00:00.000,122,21,M,2.8743,2023-10-31 00:00:00.000,A
